batter_id,bowler_id,total_runs_scored,total_balls_faced,total_encounters,dot_balls,boundary_count,total_dismissals,strike_rate,batting_average,bowling_strike_rate
277906,31107,96,73,9,20,10,0,131.51,96.0,0.0
720471,940973,77,52,9,25,12,2,148.08,38.5,26.0
219889,537119,90,48,9,13,16,1,187.5,90.0,48.0
308967,559235,86,61,9,19,11,2,140.98,43.0,30.5
398438,26421,71,43,9,12,11,2,165.12,35.5,21.5
45789,35280,51,48,9,24,8,4,106.25,12.75,12.0
471342,793463,30,30,9,16,4,3,100.0,10.0,10.0
720471,481896,57,49,9,24,8,0,116.33,57.0,0.0
35320,30732,38,54,9,32,4,2,70.37,19.0,27.0
720471,475281,60,32,9,8,9,1,187.5,60.0,32.0
720471,438362,63,42,9,16,10,3,150.0,21.0,14.0
308967,793463,30,50,9,23,0,4,60.0,7.5,12.5
277906,475281,58,44,9,21,10,2,131.82,29.0,22.0
28081,35731,33,25,9,5,2,1,132.0,33.0,25.0
45789,49758,84,63,9,23,12,2,133.33,42.0,31.5
720471,325012,46,36,9,12,5,1,127.78,46.0,36.0
28081,32685,80,42,9,6,10,0,190.48,80.0,0.0
45789,30102,92,64,9,27,15,0,143.75,92.0,0.0
471342,230558,31,33,9,17,4,3,93.94,10.33,11.0
35582,32966,43,43,9,16,4,2,100.0,21.5,21.5
276298,793463,28,27,9,15,4,4,103.7,7.0,6.75
28081,390484,106,43,9,3,15,1,246.51,106.0,43.0
