Player_ID,Player,Full_Name,Born,Current_Age,Bats,Bowls,Matches,Died
4092,A A  Chavan,Ankeet A Chavan,"28th October, 1985",39 years 215 days,Left Handed,Left Arm Orthodox,13 (2011-2013),
3351,P P Chawla,Piyush Pramod Chawla,"24th December, 1988",36 years 158 days,Left Handed,Right Arm Leg Break,192 (2008-),
4157,B  Chipli,Bharat Chipli,"27th January, 1983",42 years 124 days,Right Handed,Right Arm Medium,23 (2008-2013),
4042,S D  Chitnis,Siddharth D Chitnis,"6th May, 1987",38 years 25 days,Right Handed,Right Arm Off Break,11 (2008-2012),
3136,A Chopra,Akash Chopra,"19th September, 1977",47 years 254 days,Right Handed,Right Arm Medium,7 (2008-2009),
4779,P Chopra,Prashant Chopra,"7th October, 1992",32 years 236 days,Right Handed,Right Arm Leg Break,2 (2018-2019),
4043,A V Choudhary,Aniket Vinod Choudhary,"28th January, 1990",35 years 123 days,Right Handed,Left Arm Medium,5 (2017-2017),
3766,D T Christian,Daniel Trevor Christian,"4th May, 1983",42 years 27 days,Right Handed,Right Arm Fast Medium,49 (2011-2021),
3067,M J Clarke,Michael John Clarke,"2nd April, 1981",44 years 59 days,Right Handed,Left Arm Orthodox,6 (2012-2012),
7155,G Coetzee,Gerald Coetzee,"2nd October, 2000",24 years 241 days,Right Handed,Right Arm Fast,13 (2024-),
2973,P D Collingwood,Paul Davide Collingwood,"26th May, 1976",49 years 5 days,Right Handed,Right Arm Medium,8 (2010-2010),
5924,D P Conway,Devon Philip Conway,"8th July, 1991",33 years 327 days,Left Handed,Right Arm Medium,29 (2022-),
4093,K  Cooper,Kevon K Cooper,"2nd February, 1989",36 years 118 days,Right Handed,Right Arm Medium,25 (2012-2014),
4249,S S Cottrell,Sheldon S Cottrell,"19th August, 1989",35 years 285 days,Right Handed,Left Arm Fast Medium,6 (2020-2020),
4001,N M Coulter-Nile,Nathan M Coulter-Nile,"11th October, 1987",37 years 232 days,Right Handed,Right Arm Fast,39 (2013-2022),
3909,P J Cummins,Patrick J Cummins,"8th May, 1993",32 years 23 days,Right Handed,Right Arm Fast,72 (2014-),
4787,S M Curran,Samuel Matthew Curran,"3rd June, 1998",26 years 362 days,Left Handed,Left Arm Medium Fast,64 (2019-),
4693,T K Curran,Thomas Kevin Curran,"12th March, 1995",30 years 80 days,Right Handed,Right Arm Fast Medium,13 (2018-2021),
3995,B C J Cutting,Benjamin C J Cutting,"30th January, 1987",38 years 121 days,Right Handed,Right Arm Fast Medium,21 (2014-2019),
4762,M J Dagar,Mayank J Dagar,"11th November, 1996",28 years 201 days,Right Handed,Left Arm Orthodox,8 (2023-),
4739,C J Dala,Carl Junior Dala,"29th December, 1989",35 years 153 days,Right Handed,Right Arm Medium,1 (2018-2018),
3973,M K P A Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya,"4th October, 1993",31 years 239 days,Left Handed,Right Arm Off Break,1 (2018-2018),
4056,D B  Das,Debabrata B Das,"22nd September, 1986",38 years 251 days,Right Handed,Right Arm Leg Break,31 (2008-2013),
4176,H  Das,Halhadar Das,"10th December, 1986",38 years 172 days,Right Handed,,1 (2008-2008),
5332,T H David,Timothy Hays David,"16th March, 1996",29 years 76 days,Right Handed,Right Arm Medium,50 (2021-),
6537,Y Dayal,Yash Dayal,"13th December, 1997",27 years 169 days,Left Handed,Left Arm Medium Fast,42 (2022-),
3936,C de Grandhomme,Colin de Grandhomme,"22nd July, 1986",38 years 313 days,Right Handed,Right Arm Fast Medium,25 (2017-2019),
3988,Q de Kock,Quinton de Kock,"17th December, 1992",32 years 165 days,Left Handed,,115 (2013-),
3927,M de Lange,Marchant de Lange,"13th October, 1990",34 years 230 days,Right Handed,Right Arm Medium Fast,5 (2012-2015),
4696,P W H de Silva,Pinnaduwage Wanindu Hasaranga De Silva,"29th July, 1997",27 years 306 days,Right Handed,Right Arm Leg Break,37 (2021-),
3241,A B de Villiers,Abraham Benjamin De Villiers,"17th February, 1984",41 years 103 days,Right Handed,Right Arm Medium,184 (2008-2021),
3724,J L Denly,Joseph L Denly,"16th March, 1986",39 years 76 days,Right Handed,Right Arm Leg Break,1 (2019-2019),
5849,T U Deshpande,Tushar Uday Deshpande,"15th May, 1995",30 years 16 days,Left Handed,Right Arm Medium,46 (2020-),
4207,K H  Devdhar,Kedar H Devdhar,"14th December, 1989",35 years 168 days,Right Handed,,1 (2011-2011),
2668,P Dharmani,Pankaj Dharmani,"27th September, 1974",50 years 246 days,Right Handed,,1 (2008-2008),
4064,R Dhawan,Rishi Dhawan,"19th February, 1990",35 years 101 days,Right Handed,Right Arm Medium Fast,39 (2013-),
3832,S Dhawan,Shikhar Dhawan,"5th December, 1985",39 years 177 days,Left Handed,,222 (2008-),
3243,M S Dhoni,Mahendra Singh Dhoni,"7th July, 1981",43 years 328 days,Right Handed,,278 (2008-),
6516,Y V Dhull,Yash Vijay Dhull,"11th November, 2002",22 years 201 days,Right Handed,Right Arm Off Break,4 (2023-2023),
8311,Digvesh Rathi,Digvesh Singh Rathi,"15th December, 1999",25 years 167 days,Right Handed,Right Arm Leg Break,13 (2025-),
2197,T M Dilshan,Tillakaratne Mudiyanselage Dilshan,"14th October, 1976",48 years 229 days,Right Handed,Right Arm Medium,52 (2008-2013),
3740,A B Dinda,Ashok B Dinda,"25th March, 1984",41 years 67 days,Right Handed,Right Arm Medium Fast,78 (2008-2017),
4180,P  Dogra,Paras Dogra,"19th November, 1984",40 years 193 days,Right Handed,Right Arm Leg Break,13 (2010-2013),
4190,A P  Dole,Aditya P Dole,"9th October, 1987",37 years 234 days,Right Handed,Right Arm Fast Medium,3 (2010-2010),
4195,N D  Doshi,Nayan D Doshi,"6th October, 1978",46 years 237 days,Right Handed,Left Arm Orthodox,4 (2010-2011),
2060,R Dravid,Rahul Dravid,"11th January, 1973",52 years 140 days,Right Handed,Right Arm Off Break,89 (2008-2013),
3847,F du Plessis,Francois du Plessis,"13th July, 1984",40 years 322 days,Right Handed,Right Arm Leg Break,154 (2012-),
4171,D  du Preez,Dillon du Preez,"8th November, 1981",43 years 204 days,Right Handed,Right Arm Fast Medium,2 (2009-2009),
4945,S Dube,Shivam Dube,"26th June, 1993",31 years 339 days,Left Handed,Right Arm Medium,79 (2019-),
8405,H S Dubey,Harsh Surendra Dubey,"23rd July, 2002",22 years 312 days,Left Handed,Left Arm Orthodox,3 (2025-),
4559,P Dubey,Praveen Dubey,"1st July, 1993",31 years 334 days,Right Handed,Right Arm Leg Break,5 (2020-),
3208,J-P Duminy,Jean-Paul Duminy,"14th April, 1984",41 years 47 days,Left Handed,Right Arm Off Break,83 (2009-2018),
4337,B R Dunk,Ben Robert Dunk,"11th March, 1987",38 years 81 days,Left Handed,Right Arm Off Break,3 (2014-2014),
4074,E R Dwivedi,Eklavya Ralesj Dwivedi,"22nd July, 1988",36 years 313 days,Right Handed,,4 (2016-2016),
3125,F H Edwards,Fidel Henderson Edwards,"6th February, 1982",43 years 114 days,Right Handed,Right Arm Fast,6 (2009-2009),
6082,N Ellis,Nathan Ellis,"22nd September, 1994",30 years 251 days,Right Handed,Right Arm Fast Medium,17 (2021-),
8226,Eshan Malinga,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,"4th February, 2001",24 years 116 days,Left Handed,Right Arm Fast Medium,7 (2025-),
3930,J P Faulkner,James Peter Faulkner,"29th April, 1990",35 years 32 days,Right Handed,Left Arm Medium,60 (2011-2017),
4185,F Y Fazal,Faiz Yakub Fazal,"7th September, 1985",39 years 266 days,Left Handed,Right Arm Medium,12 (2010-2011),
5955,Fazalhaq Farooqi,Fazalhaq Farooqi,"22nd September, 2000",24 years 251 days,Right Handed,Left Arm Fast Medium,12 (2022-),
3643,C J Ferguson,Callum J Ferguson,"21st November, 1984",40 years 191 days,Right Handed,Right Arm Medium,9 (2011-2012),
4609,L H Ferguson,Lachlan Hammond Ferguson,"13th June, 1991",33 years 352 days,Right Handed,Right Arm Fast,49 (2017-),
2223,C R D Fernando,Congenige Randhi Dilhara Fernando,"19th July, 1979",45 years 316 days,Right Handed,Right Arm Fast Medium,10 (2008-2010),
7214,D Ferreira,Donovan Ferreira,"21st July, 1998",26 years 314 days,Right Handed,Right Arm Off Break,3 (2024-),
3845,A J Finch,Aaron James Finch,"17th November, 1986",38 years 195 days,Right Handed,Left Arm Orthodox,92 (2010-2022),
1977,S P Fleming,Stephen Paul Fleming,"1st April, 1973",52 years 60 days,Left Handed,Right Arm Medium,10 (2008-2008),
2148,A Flintoff,Andrew Flintoff,"6th December, 1977",47 years 176 days,Right Handed,Right Arm Fast,3 (2009-2009),
2263,J E C Franklin,James Edwar Charles Franklin,"7th November, 1980",44 years 205 days,Left Handed,Left Arm Fast Medium,20 (2011-2012),
7679,J Fraser-McGurk,Jake Fraser-McGurk,"11th April, 2002",23 years 50 days,Right Handed,Right Arm Leg Break,15 (2024-),
4162,Gagandeep Singh,Gagandeep Singh,"3rd October, 1981",43 years 240 days,Right Handed,Right Arm Fast Medium,4 (2008-2008),
4931,R D Gaikwad,Ruturaj Dashrat Gaikwad,"31st January, 1997",28 years 120 days,Right Handed,Right Arm Off Break,71 (2020-),
3107,G Gambhir,Gautam Gambhir,"14th October, 1981",43 years 229 days,Left Handed,Right Arm Leg Break,154 (2008-2018),
4188,C  Ganapathy,Chandrasehar Ganapathy,"10th June, 1981",43 years 355 days,Right Handed,Right Arm Medium,1 (2010-2010),
2059,S C Ganguly,Sourav C Ganguly,"8th July, 1972",52 years 327 days,Left Handed,Right Arm Medium,59 (2008-2012),
5866,P K Garg,Priyam K Garg,"30th November, 2000",24 years 182 days,Right Handed,Right Arm Medium,23 (2020-2023),
6203,G H S Garton,George Henry Simmons Garton,"15th April, 1997",28 years 46 days,Left Handed,Left Arm Fast,5 (2021-2021),
4032,C M  Gautam,C Muralidharen Gautam,"8th March, 1986",39 years 84 days,Right Handed,,13 (2013-2015),
3159,R S Gavaskar,Rohan S Gavaskar,"20th February, 1976",49 years 100 days,Left Handed,Left Arm Orthodox,2 (2010-2010),
2217,C H Gayle,Christopher Henry Gayle,"21st September, 1979",45 years 252 days,Left Handed,Right Arm Off Break,142 (2009-2021),
3615,B Geeves,Brett Geeves,"13th June, 1982",42 years 352 days,Right Handed,Right Arm Fast Medium,2 (2008-2008),
4161,A N Ghosh,Arindam N Ghosh,"19th October, 1986",38 years 224 days,Right Handed,Right Arm Medium,2 (2009-2009),
2080,H H Gibbs,Herschelle Herman Gibbs,"23rd February, 1974",51 years 97 days,Right Handed,Right Arm Fast Medium,36 (2008-2012),
2192,A C Gilchrist,Adam Craig Gilchrist,"14th November, 1971",53 years 198 days,Left Handed,,80 (2008-2013),
6729,R J Gleeson,Richard James Gleeson,"2nd December, 1987",37 years 180 days,Right Handed,Right Arm Fast Medium,2 (2024-),
4206,Y  Gnaneswara Rao,Yalaka Gnaneswara Rao,"25th August, 1984",40 years 279 days,Right Handed,Right Arm Medium,2 (2011-2011),
4139,K  Goel,Karan Goel,"24th December, 1986",38 years 158 days,Left Handed,Right Arm Off Break,22 (2008-2010),
4076,R V  Gomez,Raiphi V Gomez,"16th October, 1985",39 years 227 days,Right Handed,Right Arm Medium,13 (2011-2013),
3569,M Gony,Manpreet Gony,"4th January, 1984",41 years 147 days,Right Handed,Right Arm Medium,44 (2008-2017),
4378,S Gopal,Shreyas Gopal,"4th September, 1993",31 years 269 days,Right Handed,Right Arm Leg Break,52 (2014-),
4094,S P Goswami,Shreevats P Goswami,"18th May, 1989",36 years 13 days,Left Handed,,31 (2008-2020),
4668,K Gowtham,Krishnappa Gowtham,"20th October, 1988",36 years 223 days,Right Handed,Right Arm Off Break,36 (2018-),
7227,R Goyal,Raghav Goyal,"20th June, 2001",23 years 345 days,,,1 (2023-2023),
5926,C Green,Cameron Green,"3rd June, 1999",25 years 362 days,Right Handed,Right Arm Fast Medium,29 (2023-),
5853,C J Green,Christopher James Green,"1st October, 1993",31 years 242 days,Right Handed,Right Arm Off Break,1 (2020-2020),
